Rang,Uporabniško ime,Elo,Id,Država,Država številka,Skupaj igre,Skupaj zmage,Skupaj remiji,Skupaj porazi,Naslov,Strela elo,Metek elo,Ime,Priimek,Opazovalci,Datum,Spol,Celina,Obratna vrednost prebivalstva,Leto
1223,essequamvideris,2404,7685566,United States,2,113,80,5,28,FM,2450,2325,Marcus,Joseph,4517,2012-05-25,Moški,North America,2.9402166800915e-09,2012
1224,Hannybal-Lecter,2404,74036064,France,52,490,324,38,128,Nima naslova,2500,2024,,,230,2020-03-21,Ni znano,Europe,1.4562824022834507e-08,2020
1225,YasssssT,2404,73866444,France,52,481,290,36,155,Nima naslova,2400,2106,,,646,2020-03-19,Ni znano,Europe,1.4562824022834507e-08,2020
1226,Garudapura,2404,67764406,Indonesia,70,221,131,18,72,Nima naslova,2622,2472,,,6838,2019-11-09,Ni znano,Asia,3.515694987049973e-09,2019
1227,Vellerophon,2404,60910208,United Kingdom,164,871,457,83,331,Nima naslova,2418,2162,,,1064,2019-05-12,Ni znano,Europe,1.4648750288012741e-08,2019
1228,ChessGMnexus,2404,4765646,Netherlands,101,90,64,8,18,Nima naslova,2347,1894,Mark,G.,217,2011-02-24,Moški,Europe,5.530684986950072e-08,2011
1229,Mazoo0on,2404,471451790,United States,2,105,84,5,16,Nima naslova,2318,Ne igra metka,,,10,2025-08-03,Ni znano,North America,2.9402166800915e-09,2025
1230,Bhotu78,2404,463081166,India,69,100,83,2,15,Nima naslova,2345,2063,,,31,2025-06-28,Ni znano,Asia,7.054713536302145e-10,2025
1231,SuperNix,2404,45165278,United States,2,1545,759,134,652,Nima naslova,2401,2401,Niko,,686,2018-04-10,Moški,North America,2.9402166800915e-09,2018
1232,bruncio9,2404,424619537,Poland,112,1107,458,155,494,Nima naslova,2394,2479,,,492,2025-01-28,Ni znano,Europe,2.6729391639046296e-08,2025
1233,kuawakaka,2404,42210240,Malaysia,92,267,186,24,57,Nima naslova,2424,2403,Victor,Vincent,141,2018-01-11,Moški,Asia,2.9212688823517382e-08,2018
1234,Mamyan2004,2404,419572543,Armenia,14,500,286,34,180,Nima naslova,2418,2293,Garik,Mamyan,47,2025-01-21,Moški,Asia,3.2455941060011037e-07,2025
